time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1697853873083068700,95.16806860351562,10,20,100,4.25,4.351592540740967,55.545448303222656,61,-51.1230115,-30.0752322
1697853874075740700,96.16074072265624,10,20,100,4,4.949138164520264,78.81143951416016,60,-51.1229249,-30.0752579
1697853874887236600,96.97223657226563,10,20,100,3.700000047683716,6.126336097717285,95.00286865234375,60,-51.1228376,-30.0752967
1697853875865661000,97.95066088867188,10,20,100,3.5999999046325684,7.410506725311279,105.05982971191406,60,-51.1227361,-30.0753457
1697853876866883800,98.9518837890625,10,20,100,3.4000000953674316,8.309772491455078,110.33808898925781,60,-51.1226375,-30.0753943
1697853878064011000,100.14901098632812,10,20,100,3.3329999446868896,8.771007537841797,112.44768524169922,61,-51.1225285,-30.0754411
1697853879072693800,101.15769384765625,10,20,100,3.1659998893737793,9.24923038482666,113.47588348388672,62,-51.1224291,-30.075482
1697853879899993900,101.98499389648437,10,20,100,2.9000000953674316,9.903095245361328,114.68236541748047,62,-51.1223369,-30.075524
1697853880883635500,102.96863549804688,10,20,100,2.799999952316284,10.215107917785645,115.60870361328125,63,-51.1222367,-30.0755705
1697853881867255000,103.95225512695312,10,20,100,2.799999952316284,10.153902053833008,115.55008697509766,63,-51.122144,-30.0756091
1697853883065030000,105.15002978515625,10,20,100,2.700000047683716,9.46133804321289,115.53150939941406,63,-51.1220542,-30.0756465
1697853883871343400,105.95634326171874,10,20,100,2.75,9.452435493469238,115.9874267578125,63,-51.121984,-30.0756782
1697853884859404500,106.94440454101563,10,20,100,2.9159998893737793,9.439925193786621,117.01533508300781,63,-51.1218999,-30.0757198
1697853885854112300,107.9391123046875,10,20,100,3.3329999446868896,8.245322227478027,117.99456024169922,62,-51.1218534,-30.0757449
1697853886854283000,108.93928295898438,10,20,100,3.5829999446868896,5.84605073928833,120.94892883300781,62,-51.1218491,-30.0757511
1697853887853638000,109.93863793945313,10,20,100,3.8329999446868896,4.270546913146973,122.33332824707031,61,-51.121851,-30.0757547
1697853888865541000,110.950541015625,10,20,100,4.165999889373779,1.6183853149414062,180,61,-51.1218732,-30.0757536
1697853889877473300,111.96247338867188,10,20,100,4.5,1.0868861675262451,180,61,-51.1218791,-30.0757508
1697853890878381000,112.96338110351563,10,20,100,4.400000095367432,0.7009381651878357,180,61,-51.1218821,-30.075748
1697853891859665700,113.94466577148438,10,20,100,4.300000190734863,0.436431348323822,180,61,-51.1218837,-30.0757455
1697853892865518300,114.95051831054687,10,20,100,4.199999809265137,0.25878989696502686,180,61,-51.1218846,-30.0757436
1697853893871751400,115.95675146484375,10,20,100,4.099999904632568,0.1701936423778534,180,61,-51.1218853,-30.0757416
1697853894882848000,116.96784790039062,0,20,100,4.199999809265137,0.028098156675696373,0,61,-51.1218856,-30.0757405
1697853895851719700,117.9367197265625,0,20,100,4.165999889373779,0.014459018595516682,0,61,-51.1218857,-30.07574
1697853896851328800,118.93632885742187,0,20,100,4.083000183105469,0.013200055807828903,0,61,-51.1218857,-30.0757399
1697853897861174500,119.94617456054688,0,20,100,4.083000183105469,0.006354840938001871,0,61,-51.1218857,-30.0757399
1697853898860063200,120.94506323242187,0,20,100,4.165999889373779,0.00227744341827929,0,61,-51.1218857,-30.0757399
1697853899874728400,121.959728515625,0,20,100,4.165999889373779,0.0005969307385385036,0,61,-51.1218857,-30.0757399
